,code
1129,300125
1130,300129
1131,300141
1132,300153
1133,300208
1134,300341
1135,300372
1136,300444
1137,600069
1138,600103
1139,600163
1140,600235
1141,600308
1142,600356
1143,600433
1144,600462
1145,600567
1146,600793
1147,600963
1148,600966
1149,000488
1150,000815
1151,000820
1152,000833
1153,002012
1154,002067
1155,002078
1156,002235
1157,002303
1158,002511
1159,002521
1160,002565
1161,600072
1162,600150
1163,600685
1164,601890
1165,601989
1166,002608
1167,300008
1168,300123
1169,600121
1170,600123
1171,600157
1172,600179
1173,600188
1174,600348
1175,600381
1176,600395
1177,600397
1178,600403
1179,600408
1180,600508
1181,600546
1182,600652
1183,600714
1184,600721
1185,600725
1186,600740
1187,600792
1188,600971
1189,600997
1190,601001
1191,601011
1192,601015
1193,601088
1194,601101
1195,601225
1196,601666
1197,601699
1198,601898
1199,601918
1200,000034
1201,000552
1202,000571
1203,000723
1204,000780
1205,000933
1206,000937
1207,000968
1208,000983
1209,002128
1210,600073
1211,600186
1212,600191
1213,600260
1214,600298
1215,600300
1216,600305
1217,600419
1218,600429
1219,600597
1220,600695
1221,600737
1222,600866
1223,600872
1224,600873
1225,600887
1226,600962
1227,603020
1228,603288
1229,000019
1230,000529
1231,000639
1232,000716
1233,000796
1234,000848
1235,000893
1236,000895
1237,000911
1238,000930
1239,000972
1240,002216
1241,002220
1242,002286
1243,002329
1244,002330
1245,002387
1246,002481
1247,002495
1248,002507
1249,002515
1250,002557
1251,002568
1252,002570
1253,002582
1254,002604
1255,002626
1256,002650
1257,002661
1258,002695
1259,002702
1260,002719
1261,002726
1262,002732
1263,300138
1264,300146
1265,300149
1266,300175
1267,300401
1268,600145
1269,603268
1270,002102
1271,002162
1272,300089
1273,300234
1274,300409
1275,600302
1276,600610
1277,600843
1278,000666
1279,002021
1280,002196
1281,002722
1282,300384
1283,600005
1284,600010
1285,600019
1286,600022
1287,600117
1288,600126
1289,600165
1290,600193
1291,600231
1292,600282
1293,600307
1294,600399
1295,600477
1296,600496
1297,600507
1298,600532
1299,600558
1300,600569
1301,600581
1302,600782
1303,600784
1304,600808
1305,600882
1306,600992
1307,601003
1308,601005
1309,601028
1310,601969
1311,000409
1312,000629
1313,000655
1314,000708
1315,000709
1316,000717
1317,000761
1318,000778
1319,000825
1320,000890
1321,000898
1322,000932
1323,000959
1324,000969
1325,002075
1326,002110
1327,002132
1328,002318
1329,002352
1330,002359
1331,002423
1332,002443
1333,002478
1334,002487
1335,002524
1336,002541
1337,002545
1338,002615
1339,002743
1340,300345
1341,600008
1342,600292
1343,600874
1344,603126
1345,603588
1346,603686
1347,000544
1348,000598
1349,000826
1350,002200
1351,002549
1352,002573
1353,002616
1354,002672
1355,300055
1356,300070
1357,300156
1358,300172
1359,300187
1360,300190
1361,300197
1362,300262
1363,300332
1364,300335
1365,300355
1366,300388
1367,300422
1368,600059
1369,600084
1370,600090
1371,600132
1372,600197
1373,600199
1374,600238
1375,600365
1376,600519
1377,600543
1378,600559
1379,600573
1380,600600
1381,600616
1382,600702
1383,600779
1384,600809
1385,601579
1386,603369
1387,000557
1388,000568
1389,000596
1390,000729
1391,000752
1392,000799
1393,000858
1394,000860
1395,000869
1396,000929
1397,000995
1398,002304
1399,002461
1400,002646
1401,300498
1402,600112
